provname,year,quintile,itemid,item,binshr,implrealdol
Alberta,1992,1,19,Taxable Capital Gains,.0147467255592346,19895.988
Alberta,1992,1,20,Registered Retirement Savings Plan Income,.0584934949874878,37243.809
Alberta,1992,1,23,Net Professional Income,.0264343023300171,34011.203
Alberta,1992,1,33,Total Income Assessed,.0439205169677734,3140774
Alberta,1992,1,74,Spouse Or Common-Law Partner Amount,.1264960169792175,218328.61
Alberta,1992,2,19,Taxable Capital Gains,.0126952528953552,17128.184
Alberta,1992,2,20,Registered Retirement Savings Plan Income,.0924662351608276,58874.836
Alberta,1992,2,23,Net Professional Income,.0495163798332214,63709.328
Alberta,1992,2,33,Total Income Assessed,.1006851196289063,7200034
Alberta,1992,2,74,Spouse Or Common-Law Partner Amount,.2100448608398438,362531.59
Alberta,1992,3,19,Taxable Capital Gains,.0321806669235229,43417.516
Alberta,1992,3,20,Registered Retirement Savings Plan Income,.2001524567604065,127440.5
Alberta,1992,3,23,Net Professional Income,.0784227848052979,100901.22
Alberta,1992,3,33,Total Income Assessed,.1680619120597839,12018176
Alberta,1992,3,74,Spouse Or Common-Law Partner Amount,.2222079932689667,383524.84
Alberta,1992,4,19,Taxable Capital Gains,.0833209753036499,112415
Alberta,1992,4,20,Registered Retirement Savings Plan Income,.2994644045829773,190674.11
Alberta,1992,4,23,Net Professional Income,.1387947797775269,178577.72
Alberta,1992,4,33,Total Income Assessed,.2691472470760345,19246830
Alberta,1992,4,74,Spouse Or Common-Law Partner Amount,.2142428606748581,369777.22
Alberta,1992,5,19,Taxable Capital Gains,.8570563793182373,1156323.4
Alberta,1992,5,20,Registered Retirement Savings Plan Income,.3494234047830105,222483.86
Alberta,1992,5,23,Net Professional Income,.7068317532539368,909431.94
Alberta,1992,5,33,Total Income Assessed,.4181852042675018,29904594
Alberta,1992,5,74,Spouse Or Common-Law Partner Amount,.2270082691684365,391809.97
Alberta,1993,1,19,Taxable Capital Gains,.005598247051239,17324.799
Alberta,1993,1,20,Registered Retirement Savings Plan Income,.0706396102905273,48544.949
Alberta,1993,1,23,Net Professional Income,.0315024256706238,41001.684
Alberta,1993,1,33,Total Income Assessed,.0430539846420288,3199444.5
Alberta,1993,1,74,Spouse Or Common-Law Partner Amount,.1251497864723206,222958.47
Alberta,1993,2,19,Taxable Capital Gains,.0103092193603516,31903.764
Alberta,1993,2,20,Registered Retirement Savings Plan Income,.0908356904983521,62424.098
Alberta,1993,2,23,Net Professional Income,.0519810914993286,67655.492
Alberta,1993,2,33,Total Income Assessed,.0935356616973877,6950859
Alberta,1993,2,74,Spouse Or Common-Law Partner Amount,.1983526349067688,353371.75
Alberta,1993,3,19,Taxable Capital Gains,.0256341695785522,79329.625
Alberta,1993,3,20,Registered Retirement Savings Plan Income,.1776712536811829,122099.23
Alberta,1993,3,23,Net Professional Income,.076632559299469,99740.383
Alberta,1993,3,33,Total Income Assessed,.1634082198143005,12143256
Alberta,1993,3,74,Spouse Or Common-Law Partner Amount,.2235987186431885,398348.5
Alberta,1993,4,19,Taxable Capital Gains,.052533745765686,162575.28
Alberta,1993,4,20,Registered Retirement Savings Plan Income,.2955624461174011,203116.41
Alberta,1993,4,23,Net Professional Income,.143703818321228,187036.34
Alberta,1993,4,33,Total Income Assessed,.2644543051719666,19652232
Alberta,1993,4,74,Spouse Or Common-Law Partner Amount,.2282927930355072,406711.16
Alberta,1993,5,19,Taxable Capital Gains,.9059246182441711,2803549.3
Alberta,1993,5,20,Registered Retirement Savings Plan Income,.3652909994125366,251035.25
Alberta,1993,5,23,Net Professional Income,.6961801052093506,906106.63
Alberta,1993,5,33,Total Income Assessed,.4355478286743164,32366600
Alberta,1993,5,74,Spouse Or Common-Law Partner Amount,.2246060632169247,400143.13
Alberta,1994,1,19,Taxable Capital Gains,.0040174126625061,9888.7783
Alberta,1994,1,20,Registered Retirement Savings Plan Income,.0593041181564331,42968.727
Alberta,1994,1,23,Net Professional Income,.0266653895378113,32907.605
Alberta,1994,1,33,Total Income Assessed,.0394920110702515,3138087.8
Alberta,1994,1,74,Spouse Or Common-Law Partner Amount,.156572163105011,290618.84
Alberta,1994,2,19,Taxable Capital Gains,.0086821317672729,21370.887
Alberta,1994,2,20,Registered Retirement Savings Plan Income,.0943871140480042,68388.063
Alberta,1994,2,23,Net Professional Income,.0352743268013,43531.848
Alberta,1994,2,33,Total Income Assessed,.090091347694397,7158778
Alberta,1994,2,74,Spouse Or Common-Law Partner Amount,.1882084012031555,349339.94
Alberta,1994,3,19,Taxable Capital Gains,.0227968692779541,56114.02
Alberta,1994,3,20,Registered Retirement Savings Plan Income,.2080007195472717,150706.66
Alberta,1994,3,23,Net Professional Income,.0768224000930786,94806.094
Alberta,1994,3,33,Total Income Assessed,.1567572951316833,12456143
Alberta,1994,3,74,Spouse Or Common-Law Partner Amount,.2097943127155304,389406.28
Alberta,1994,4,19,Taxable Capital Gains,.0508567094802856,125182.73
Alberta,1994,4,20,Registered Retirement Savings Plan Income,.2937375009059906,212827.14
Alberta,1994,4,23,Net Professional Income,.1660923361778259,204973.63
Alberta,1994,4,33,Total Income Assessed,.2607046365737915,20715936
Alberta,1994,4,74,Spouse Or Common-Law Partner Amount,.233945295214653,434233.72
Alberta,1994,5,19,Taxable Capital Gains,.9136468768119812,2248922.8
Alberta,1994,5,20,Registered Retirement Savings Plan Income,.3445705473423004,249658.16
Alberta,1994,5,23,Net Professional Income,.6951455473899841,857875.19
Alberta,1994,5,33,Total Income Assessed,.4529547020792961,35992384
Alberta,1994,5,74,Spouse Or Common-Law Partner Amount,.2114798286929727,392534.81
Alberta,1995,1,19,Taxable Capital Gains,.0159245729446411,24142.881
Alberta,1995,1,20,Registered Retirement Savings Plan Income,.0562241077423096,46325.207
Alberta,1995,1,23,Net Professional Income,.0205371379852295,26037.854
Alberta,1995,1,33,Total Income Assessed,.0414754748344421,3177115.3
Alberta,1995,1,74,Spouse Or Common-Law Partner Amount,.1527764797210693,289918.19
Alberta,1995,2,19,Taxable Capital Gains,.0199463367462158,30240.186
Alberta,1995,2,20,Registered Retirement Savings Plan Income,.0947476625442505,78066.25
Alberta,1995,2,23,Net Professional Income,.040314793586731,51112.805
Alberta,1995,2,33,Total Income Assessed,.0929107666015625,7117175
Alberta,1995,2,74,Spouse Or Common-Law Partner Amount,.1862766146659851,353490.16
Alberta,1995,3,19,Taxable Capital Gains,.0361231565475464,54765.492
Alberta,1995,3,20,Registered Retirement Savings Plan Income,.1825164556503296,150382.33
Alberta,1995,3,23,Net Professional Income,.0665094256401062,84323.469
Alberta,1995,3,33,Total Income Assessed,.1616321206092834,12381386
Alberta,1995,3,74,Spouse Or Common-Law Partner Amount,.2142065763473511,406491.78
Alberta,1995,4,19,Taxable Capital Gains,.0627473592758179,95129.836
